GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
SLC25A27,-0.10155,0.8498442316891249,0.9813951663527934,0.00815608537230212,False
BAZ2A,0.0183,0.85,0.9813951663527934,0.00815608537230212,False
PCDHGB3,0.142,0.85,0.9813951663527934,0.00815608537230212,False
KCNIP4,0.0877,0.85,0.9813951663527934,0.00815608537230212,False
OR2A7,0.027,0.85,0.9813951663527934,0.00815608537230212,False
DMXL2,-0.081,0.85,0.9813951663527934,0.00815608537230212,False
BPIFB3,0.117,0.85,0.9813951663527934,0.00815608537230212,False
LOC100652967,-0.145,0.85,0.9813951663527934,0.00815608537230212,False
WDR7,0.0153,0.85,0.9813951663527934,0.00815608537230212,False
ACAD8,-0.0193,0.85,0.9813951663527934,0.00815608537230212,False
XLOC_009459,0.0453,0.85,0.9813951663527934,0.00815608537230212,False
EWSR1,-0.01333333333333333,0.8500986476337876,0.9814148025519381,0.00814739589846667,False
C12orf51,0.0663,0.8501059397031377,0.9814148025519381,0.00814739589846667,False
CA6,0.007666666666666669,0.8503853066736998,0.9815741311732428,0.008076895713768743,False
BET3L,0.20345,0.850651651772729,0.9815741311732428,0.008076895713768743,False
CROCC,0.0533,0.8508219272791966,0.9815741311732428,0.008076895713768743,False
FLJ42709,-0.058699999999999995,0.8508600520638312,0.9815741311732428,0.008076895713768743,False
EIF3E,-0.027315,0.8509526150377342,0.9815741311732428,0.008076895713768743,False
SLC46A2,0.0109,0.851,0.9815741311732428,0.008076895713768743,False
LOC283481,-0.0502,0.851,0.9815741311732428,0.008076895713768743,False
CCT5,0.052,0.851,0.9815741311732428,0.008076895713768743,False
ZNF76,-0.0432,0.851,0.9815741311732428,0.008076895713768743,False
SERTM1,0.0139,0.851,0.9815741311732428,0.008076895713768743,False
EOMES,-0.0112,0.851,0.9815741311732428,0.008076895713768743,False
KIAA0895L,0.0328,0.851,0.9815741311732428,0.008076895713768743,False
TMEM229A,0.0109,0.851,0.9815741311732428,0.008076895713768743,False
OR7D2,-0.011,0.851,0.9815741311732428,0.008076895713768743,False
LOC153469,0.0117,0.851,0.9815741311732428,0.008076895713768743,False
DCC,0.0112,0.851,0.9815741311732428,0.008076895713768743,False
C18orf1,0.0479,0.851,0.9815741311732428,0.008076895713768743,False
LOC401557,0.3025,0.8514746383511016,0.9820090866363778,0.00788449362060613,False
ZNF701,-0.055433333333333334,0.8515267850123175,0.9820090866363778,0.00788449362060613,False
ACSL6,-0.07449,0.8516429598758017,0.9820090866363778,0.00788449362060613,False
ITM2B,-0.03305,0.8516483875839231,0.9820090866363778,0.00788449362060613,False
BUB3,-0.038650000000000004,0.8518328546237954,0.9820090866363778,0.00788449362060613,False
SAG,-0.12556,0.8519060584654745,0.9820090866363778,0.00788449362060613,False
TNFRSF10D,-0.0212,0.852,0.9820090866363778,0.00788449362060613,False
THUMPD1,0.0343,0.852,0.9820090866363778,0.00788449362060613,False
MRPL23-AS1,0.0124,0.852,0.9820090866363778,0.00788449362060613,False
