GENE_SYMBOL,logFC,P.Value,FDR
LEPR,-0.2238,0.005067009321360817,0.5596331500990099
LIMS2,0.28200000000000003,0.0030456687643462335,0.42189268274999997
WDR78,-0.23399999999999999,0.028395000150070702,0.9424151102439255
SLC16A5,0.291,0.01349285,0.7878325194444445
LMX1B,0.008500000000000008,0.04753955579067298,1.0
CACNG8,0.71,0.01354522,0.788803563641161
ACBD4,-0.1613,0.04838746581629223,1.0
ANG,-0.301,0.01363517,0.7919522028157895
CHPF,0.012499999999999997,0.004499745650690679,0.5282653524276275
OXSM,0.26239999999999997,0.026776994982078237,0.9336414790670597
SLC6A13,-0.335,0.01373558,0.7936072936649214
KIF3C,0.3451,0.06949106779900213,1.0
MTL5,-0.04150000000000001,0.03326567081477232,0.986836855581774
NOS1,-0.195,0.01561495403586051,0.8264691859124157
TK1,0.244,0.01383727,0.795318713984375
SIRT5,-0.15925,0.07139110992843273,1.0
CIDEC,-0.2205,0.010298919701536827,0.6855239304216868
ERC2,0.26799999999999996,0.05442923796243221,1.0
ITM2C,-0.16949999999999998,0.04284395705688717,1.0
LOC100506533,-0.215,0.01403456,0.7961881221538463
RNF125,-0.338,0.0140462,0.7961881221538463
FBXO3,-0.11845,0.04785511926129153,1.0
NR1I2,-0.32,0.01405791,0.7961881221538463
ACAA1,-0.241,0.01406884,0.7961881221538463
LAMA3,0.28900000000000003,0.016585476915100858,0.8468267239310345
STK39,0.839,0.01415779,0.7984723638473553
SEPP1,-0.22749999999999998,0.02331711110047989,0.8997062222005099
PGF,0.47,0.018080854646704024,0.8613297354487179
USP31,0.2155,0.03464841315030341,1.0
MOGAT1,0.386,0.01440817,0.804778328560606
CCL20,-0.262,0.01442068,0.804778328560606
LOC728723,-0.903,0.01443941,0.804778328560606
SLC3A1,-0.8019999999999999,0.008578984542124087,0.6579089006010952
F11,-0.3105,0.004014926003024537,0.49919358613259673
LOC100170939,-0.269,0.0145632,0.8091587253749999
HAO2,-0.348,0.01461203,0.8091587253749999
SLPI,-0.277,0.01462987,0.8091587253749999
UNC93A,0.804,0.01466465,0.8091587253749999
LAT2,-0.259,0.02457283896379524,0.906934997943018
CYP21A2,0.38249999999999995,0.03714907494906472,1.0
CUX2,0.275,0.01789214797879339,0.8613297354487179
UGT2B7,-0.274,0.01482608,0.8154213304477613
KCNA5,0.777,0.01485204,0.8154213304477613
HCAR3,0.844,0.01495664,0.8166046565185185
C5orf65,0.352,0.01498459,0.8166046565185185
XLOC_002241,0.3609,0.063602674845325,1.0
PDE4DIP,-0.26888,0.0821096141881038,1.0
SRXN1,0.194,0.01509003,0.8203252515517242
CCDC146,-0.24,0.01513679,0.820800474632353
CECR5-AS1,-0.357,0.01517315,0.820800474632353
FLJ41484,-0.1979,0.0747412804989794,1.0
P2RX7,-0.268,0.03346189802301417,0.9899967175146726
NAGPA,0.214,0.01521335,0.8209629531784841
LOC100132529,-0.242,0.01525104,0.8209895215609756
MAP3K4,0.1154,0.07487063404692272,1.0
MRC1,-0.596,0.01535101,0.8243604421167883
CTSO,-0.293,0.01540977,0.8255073632766989
ISCA1,0.17533333333333334,0.006741091379842463,0.6131305782857143
CXCL2,-0.1945,0.01343248245945953,0.7863881176730273
PLCE1,-0.23249999999999998,0.005603016650549355,0.5860861634799754
DIXDC1,-0.28,0.01552141,0.8264691859124157
TCEA3,-0.391,0.01555814,0.8264691859124157
MYOM1,-0.238,0.01559599,0.8264691859124157
CDHR4,-0.4675,0.04577510781828612,1.0
LPIN2,-0.331,0.01577191,0.8327794871052632
SH3TC2,0.36125,0.0717410294778788,1.0
CA5B,-0.389,0.15889262106081187,1.0
CCDC57,0.040749999999999995,0.07416873124140971,1.0
TAGLN2,0.369,0.01595132,0.8402424432458235
SDCBP2,-0.244,0.01605348,0.8424924337677725
MGC4294,0.775,0.01608856,0.8424924337677725
GPHN,-0.39,0.01610855,0.8424924337677725
STRN4,0.237,0.0161649,0.8434409170212765
APOBEC3B,0.215,0.01620421,0.8434979219575471
ATF7IP2,0.261,0.01626469,0.8446540540941175
AP1S3,0.18386000000000002,0.10455787046248742,1.0
HIGD1C,-0.724,0.01635262,0.8453413483969283
C16orf3,0.415,0.01638748,0.8453413483969283
GPR153,-0.707,0.01640337,0.8453413483969283
LOC440131,-0.36000000000000004,0.02034372603272655,0.8845043916838451
MSX1,0.578,0.01647685,0.8457222240697676
CYP4F2,0.20649999999999996,0.006702581368642279,0.6131305782857143
LOC158696,-0.406,0.01655407,0.8468267239310345
RCSD1,1.22,0.01666319,0.8468267239310345
MYL9,0.309,0.01669021,0.8468267239310345
ODZ2,-0.609,0.007848810864491726,0.6371418954044117
SCLY,0.194,0.014980728583698958,0.8166046565185185
B3GNT9,-0.187,0.01689557,0.8508435414705882
ELF3,0.217,0.01691012,0.8508435414705882
SCHIP1,-0.231,0.01694758,0.8508435414705882
HPR,-0.333,0.01695015,0.8508435414705882
TIAM2,0.36750000000000005,0.012805602507225285,0.7786017987244334
ELL2,-0.333,0.01702476,0.8508435414705882
SULT2A1,0.592,0.01702722,0.8508435414705882
MAMDC4,-0.211,0.01703923,0.8508435414705882
PCSK5,-0.10000000000000002,0.044785401986176136,1.0
CLRN3,-0.541,0.01712067,0.8529803782618511
EXOC3L4,-0.33,0.01718854,0.8543841873423698
XLOC_013837,-0.19799999999999998,0.006693940040523753,0.6131305782857143
